12/14/2020,14,12,2020,746,6,Afghanistan,AF,AFG,38041757,Asia,9.01377925
12/13/2020,13,12,2020,298,9,Afghanistan,AF,AFG,38041757,Asia,7.05277624
12/12/2020,12,12,2020,113,11,Afghanistan,AF,AFG,38041757,Asia,6.86876792
12/11/2020,11,12,2020,63,10,Afghanistan,AF,AFG,38041757,Asia,7.13426564
12/10/2020,10,12,2020,202,16,Afghanistan,AF,AFG,38041757,Asia,6.96865815
12/9/2020,9,12,2020,135,13,Afghanistan,AF,AFG,38041757,Asia,6.96340077
12/8/2020,8,12,2020,200,6,Afghanistan,AF,AFG,38041757,Asia,7.09483529
12/7/2020,7,12,2020,210,26,Afghanistan,AF,AFG,38041757,Asia,7.21575505
12/6/2020,6,12,2020,234,10,Afghanistan,AF,AFG,38041757,Asia,7.32616004
12/5/2020,5,12,2020,235,18,Afghanistan,AF,AFG,38041757,Asia,7.11586481
12/4/2020,4,12,2020,119,5,Afghanistan,AF,AFG,38041757,Asia,7.10797874
12/3/2020,3,12,2020,202,19,Afghanistan,AF,AFG,38041757,Asia,7.53645527
12/2/2020,2,12,2020,400,48,Afghanistan,AF,AFG,38041757,Asia,7.00545982
12/1/2020,1,12,2020,272,11,Afghanistan,AF,AFG,38041757,Asia,6.96077208
11/30/2020,30,11,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,6.41663317
11/29/2020,29,11,2020,228,11,Afghanistan,AF,AFG,38041757,Asia,6.8451097
11/28/2020,28,11,2020,214,15,Afghanistan,AF,AFG,38041757,Asia,6.78464983
11/27/2020,27,11,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,6.39560365
11/26/2020,26,11,2020,200,12,Afghanistan,AF,AFG,38041757,Asia,7.34193218
11/25/2020,25,11,2020,185,13,Afghanistan,AF,AFG,38041757,Asia,7.1999829
11/24/2020,24,11,2020,246,17,Afghanistan,AF,AFG,38041757,Asia,6.71367519
11/23/2020,23,11,2020,252,8,Afghanistan,AF,AFG,38041757,Asia,6.655844
11/22/2020,22,11,2020,154,12,Afghanistan,AF,AFG,38041757,Asia,6.20370926
11/21/2020,21,11,2020,232,25,Afghanistan,AF,AFG,38041757,Asia,6.13010593
11/20/2020,20,11,2020,282,5,Afghanistan,AF,AFG,38041757,Asia,5.6727138
11/19/2020,19,11,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,5.03657073
11/18/2020,18,11,2020,383,13,Afghanistan,AF,AFG,38041757,Asia,5.35464227
11/17/2020,17,11,2020,65,6,Afghanistan,AF,AFG,38041757,Asia,4.57392123
